CybORG v2.1, Scenario2A, Commit Hash: 9421c8e985627810c5cac2abf0bcb62dfa6749fc
author: krystal, team: cset, technique: ppo2A
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -170.08499999999995, standard deviation 76.49125701013087
actions: [('DecoyApache Enterprise1', 'DiscoverRemoteSystems 10.0.220.192/28'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.220.197'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.220.197'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate User4'), ('Analyse User2', 'DiscoverNetworkServices 10.0.144.152'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.144.152'), ('Analyse Defender', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host2', 'DiscoverRemoteSystems 10.0.144.144/28'), ('Sleep', 'DiscoverNetworkServices 10.0.144.146'), ('DecoyApache User0', 'ExploitRemoteService 10.0.144.146'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.69.248'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.69.248'), ('Analyse Defender', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyFemitter User1', 'DiscoverRemoteSystems 10.0.218.144/28'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.218.151'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.218.151'), ('Analyse Op_Host0', 'PrivilegeEscalate User3'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.206.54'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.206.54'), ('Analyse User3', 'PrivilegeEscalate Enterprise0'), ('Analyse User3', 'DiscoverRemoteSystems 10.0.206.48/28'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.206.56'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.206.56'), ('DecoyApache User3', 'ExploitRemoteService 10.0.206.54'), ('Remove User3', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Host1', 'DiscoverRemoteSystems 10.0.206.48/28'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.206.56'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.206.56'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.206.54'), ('DecoyFemitter User4', 'PrivilegeEscalate Enterprise0'), ('Remove Enterprise0', 'DiscoverRemoteSystems 10.0.206.48/28'), ('Analyse User0', 'DiscoverNetworkServices 10.0.206.56'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.206.56'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.206.54'), ('DecoyApache User3', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Op_Host1', 'DiscoverRemoteSystems 10.0.206.48/28'), ('Remove User1', 'DiscoverNetworkServices 10.0.206.56'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.206.56'), ('Remove Defender', 'ExploitRemoteService 10.0.206.54'), ('Analyse User4', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'DiscoverRemoteSystems 10.0.206.48/28'), ('Analyse User1', 'DiscoverNetworkServices 10.0.206.56'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.206.56')], total reward: -26.80000000000001
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.106.128/28'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.106.131'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.106.131'), ('Analyse User3', 'PrivilegeEscalate User4'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.57.133'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.57.133'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User1', 'DiscoverRemoteSystems 10.0.57.128/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.57.129'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.57.129'), ('DecoyFemitter User3', 'PrivilegeEscalate Enterprise2'), ('Remove User4', 'DiscoverNetworkServices 10.0.57.183'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.57.183'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Remove User0', 'DiscoverRemoteSystems 10.0.205.208/28'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.205.212'), ('Remove Defender', 'ExploitRemoteService 10.0.205.212'), ('Remove User3', 'PrivilegeEscalate User1'), ('DecoyApache Enterprise2', 'DiscoverNetworkServices 10.0.9.110'), ('Remove User2', 'ExploitRemoteService 10.0.9.110'), ('DecoyApache Defender', 'PrivilegeEscalate Enterprise1'), ('DecoyApache Op_Host0', 'DiscoverRemoteSystems 10.0.9.96/28'), ('DecoyFemitter Op_Server0', 'DiscoverNetworkServices 10.0.9.101'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.9.101'), ('Monitor', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.71.171'), ('Analyse User0', 'ExploitRemoteService 10.0.71.171'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.111.128/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.111.129'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.111.129'), ('DecoyFemitter User4', 'PrivilegeEscalate User2'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.44.100'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.44.100'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter User4', 'DiscoverRemoteSystems 10.0.44.96/28'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.44.101'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.44.101'), ('Remove User2', 'PrivilegeEscalate Enterprise2'), ('Remove User1', 'DiscoverNetworkServices 10.0.20.158'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.20.158'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.44.101'), ('DecoyApache Enterprise0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host1', 'DiscoverNetworkServices 10.0.20.158'), ('Remove User3', 'ExploitRemoteService 10.0.20.158'), ('Remove Op_Host0', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0')], total reward: -179.79999999999995
actions: [('DecoyFemitter User4', 'DiscoverRemoteSystems 10.0.151.224/28'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.151.237'), ('Remove User2', 'ExploitRemoteService 10.0.151.237'), ('DecoyApache User3', 'PrivilegeEscalate User4'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.204.182'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.204.182'), ('DecoyApache User3', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter User4', 'DiscoverRemoteSystems 10.0.204.176/28'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.204.189'), ('Remove User1', 'ExploitRemoteService 10.0.204.189'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.204.182'), ('Remove User4', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.204.176/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.204.189'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.204.189'), ('Monitor', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.179.59'), ('DecoyApache User0', 'ExploitRemoteService 10.0.179.59'), ('DecoyApache Op_Host1', 'PrivilegeEscalate Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0')], total reward: -163.79999999999995
actions: [('DecoyApache User1', 'DiscoverRemoteSystems 10.0.167.0/28'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.167.5'), ('DecoyApache User1', 'ExploitRemoteService 10.0.167.5'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate User2'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.98.147'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.98.147'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter User4', 'DiscoverRemoteSystems 10.0.98.144/28'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.98.157'), ('Remove Defender', 'ExploitRemoteService 10.0.98.157'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.98.147'), ('Analyse User4', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Op_Server0', 'DiscoverRemoteSystems 10.0.98.144/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.98.157'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.98.157'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.98.147'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.98.144/28'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.98.157'), ('Monitor', 'ExploitRemoteService 10.0.98.157'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.98.147'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Host1', 'DiscoverRemoteSystems 10.0.98.144/28'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.98.157'), ('Remove User4', 'ExploitRemoteService 10.0.98.157'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.98.147'), ('Analyse Enterprise2', 'PrivilegeEscalate Enterprise1'), ('Analyse Defender', 'DiscoverRemoteSystems 10.0.98.144/28'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.98.157'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.98.157')], total reward: -26.80000000000001
actions: [('DecoyFemitter User4', 'DiscoverRemoteSystems 10.0.251.16/28'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.251.19'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.251.19'), ('DecoyApache User1', 'PrivilegeEscalate User2'), ('Remove User1', 'DiscoverNetworkServices 10.0.1.110'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.1.110'), ('DecoyFemitter User0', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.1.96/28'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.1.105'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.1.105'), ('Remove User1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Server0', 'DiscoverNetworkServices 10.0.173.199'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.173.199'), ('Remove Enterprise0', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse User3', 'DiscoverRemoteSystems 10.0.76.0/28'), ('Remove User3', 'DiscoverNetworkServices 10.0.76.12'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.76.12'), ('Remove User4', 'PrivilegeEscalate User1'), ('Analyse User0', 'DiscoverNetworkServices 10.0.186.158'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.186.158'), ('Monitor', 'PrivilegeEscalate Enterprise1'), ('DecoyApache Op_Server0', 'DiscoverRemoteSystems 10.0.186.144/28'), ('Analyse User1', 'DiscoverNetworkServices 10.0.186.146'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.186.146'), ('Monitor', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.131.28'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.131.28'), ('DecoyApache User1', 'PrivilegeEscalate Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('DecoyApache User2', 'DiscoverRemoteSystems 10.0.253.192/28'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.253.205'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.253.205'), ('DecoyApache Enterprise2', 'PrivilegeEscalate User4'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.165.138'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.165.138'), ('DecoyApache User0', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Host2', 'DiscoverRemoteSystems 10.0.165.128/28'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.165.131'), ('DecoyApache User0', 'ExploitRemoteService 10.0.165.131'), ('Remove User1', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.176.189'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.176.189'), ('Remove Enterprise1', 'PrivilegeEscalate Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('DecoyApache User0', 'DiscoverRemoteSystems 10.0.96.208/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.96.214'), ('Analyse Op_Server0', 'ExploitRemoteService 10.0.96.214'), ('DecoyFemitter Op_Host0', 'PrivilegeEscalate User1'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.17.1'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.17.1'), ('Analyse Defender', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.17.0/28'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.17.10'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.17.10'), ('Remove Op_Host2', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.45.98'), ('Monitor', 'ExploitRemoteService 10.0.45.98'), ('DecoyFemitter User1', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0')], total reward: -223.79999999999993
