CybORG v2.1, Scenario2B, Commit Hash: 9421c8e985627810c5cac2abf0bcb62dfa6749fc
author: krystal, team: cset, technique: ppo2B
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -184.75999999999993, standard deviation 70.03879877134764
actions: [('DecoyApache User4', 'DiscoverRemoteSystems 10.0.74.80/28'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.74.93'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.74.93'), ('DecoyApache User2', 'PrivilegeEscalate User3'), ('Monitor', 'DiscoverNetworkServices 10.0.164.247'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.164.247'), ('Remove Op_Host2', 'PrivilegeEscalate Enterprise0'), ('Remove Enterprise2', 'DiscoverRemoteSystems 10.0.164.240/28'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.164.246'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.164.246'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.174.187'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.174.187'), ('DecoyFemitter User1', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse User5', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.230.64/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.230.73'), ('DecoyApache User2', 'ExploitRemoteService 10.0.230.73'), ('Remove User0', 'PrivilegeEscalate User2'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.41.200'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.41.200'), ('DecoyApache Enterprise2', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Host0', 'DiscoverRemoteSystems 10.0.41.192/28'), ('Sleep', 'DiscoverNetworkServices 10.0.41.199'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.41.199'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.41.200'), ('DecoyApache Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User4', 'DiscoverRemoteSystems 10.0.41.192/28'), ('DecoyApache User5', 'DiscoverNetworkServices 10.0.41.199'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.41.199'), ('DecoyFemitter User1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.110.24'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.110.24'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Remove User5', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0')], total reward: -164.79999999999995
actions: [('Analyse User0', 'DiscoverRemoteSystems 10.0.16.0/28'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.16.2'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.16.2'), ('Remove Op_Host1', 'PrivilegeEscalate User5'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.175.137'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.175.137'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise0'), ('Monitor', 'DiscoverRemoteSystems 10.0.175.128/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.175.131'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.175.131'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.153.251'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.153.251'), ('Analyse Op_Host1', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoyApache User5', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Remove User5', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyFemitter Enterprise0', 'DiscoverRemoteSystems 10.0.39.16/28'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.39.27'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.39.27'), ('Remove User0', 'PrivilegeEscalate User4'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.244.66'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.244.66'), ('Analyse Op_Server0', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Op_Server0', 'DiscoverRemoteSystems 10.0.244.64/28'), ('DecoyApache Enterprise2', 'DiscoverNetworkServices 10.0.244.69'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.244.69'), ('Analyse Op_Server0', 'PrivilegeEscalate Enterprise2'), ('Remove User1', 'DiscoverNetworkServices 10.0.110.7'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.110.7'), ('Remove User2', 'ExploitRemoteService 10.0.244.69'), ('Remove Op_Host1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.110.7'), ('Remove User1', 'ExploitRemoteService 10.0.110.7'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.244.69'), ('Remove User0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.110.7'), ('DecoyApache User2', 'ExploitRemoteService 10.0.110.7'), ('Remove Enterprise2', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyApache User5', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('DecoyApache User5', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0')], total reward: -135.79999999999998
actions: [('Monitor', 'DiscoverRemoteSystems 10.0.36.224/28'), ('Remove User0', 'DiscoverNetworkServices 10.0.36.230'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.36.230'), ('Analyse Enterprise0', 'PrivilegeEscalate User3'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.109.113'), ('Remove User5', 'ExploitRemoteService 10.0.109.113'), ('DecoyFemitter Defender', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Defender', 'DiscoverRemoteSystems 10.0.109.112/28'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.109.124'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.109.124'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.62.19'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.62.19'), ('DecoyApache User2', 'PrivilegeEscalate Op_Server0'), ('Analyse User5', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyApache User5', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('Analyse User5', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Remove User1', 'DiscoverRemoteSystems 10.0.116.176/28'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.116.179'), ('Sleep', 'ExploitRemoteService 10.0.116.179'), ('Remove Op_Server0', 'PrivilegeEscalate User3'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.35.179'), ('Remove User1', 'ExploitRemoteService 10.0.35.179'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User5', 'DiscoverRemoteSystems 10.0.35.176/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.35.178'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.35.178'), ('Analyse Op_Server0', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.34.195'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.34.195'), ('DecoyFemitter User0', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Analyse User5', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.150.0/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.150.5'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.150.5'), ('DecoyApache Op_Host2', 'PrivilegeEscalate User5'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.9.87'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.9.87'), ('Monitor', 'PrivilegeEscalate Enterprise0'), ('Analyse User2', 'DiscoverRemoteSystems 10.0.9.80/28'), ('Analyse User3', 'DiscoverNetworkServices 10.0.9.89'), ('Analyse User0', 'ExploitRemoteService 10.0.9.89'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.9.87'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Analyse User3', 'DiscoverRemoteSystems 10.0.9.80/28'), ('Analyse User4', 'DiscoverNetworkServices 10.0.9.89'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.9.89'), ('Remove User5', 'ExploitRemoteService 10.0.9.87'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.9.80/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.9.89'), ('Analyse User5', 'ExploitRemoteService 10.0.9.89'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.157.190'), ('DecoyApache User0', 'ExploitRemoteService 10.0.157.190'), ('Analyse User3', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Remove User5', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0')], total reward: -103.79999999999998
actions: [('Analyse User2', 'DiscoverRemoteSystems 10.0.193.128/28'), ('Analyse User4', 'DiscoverNetworkServices 10.0.193.131'), ('Monitor', 'ExploitRemoteService 10.0.193.131'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User3'), ('Remove User2', 'DiscoverNetworkServices 10.0.13.134'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.13.134'), ('Analyse User2', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise1', 'DiscoverRemoteSystems 10.0.13.128/28'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.13.133'), ('Analyse User2', 'ExploitRemoteService 10.0.13.133'), ('DecoyApache Op_Host2', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.160.206'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.160.206'), ('DecoyApache User5', 'PrivilegeEscalate Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('Analyse User5', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache User5', 'DiscoverRemoteSystems 10.0.94.176/28'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.94.179'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.94.179'), ('DecoyApache Op_Host0', 'PrivilegeEscalate User5'), ('Sleep', 'DiscoverNetworkServices 10.0.4.117'), ('DecoyApache User4', 'ExploitRemoteService 10.0.4.117'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate Enterprise0'), ('Analyse User3', 'DiscoverRemoteSystems 10.0.4.112/28'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.4.124'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.4.124'), ('DecoyApache Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse User2', 'DiscoverNetworkServices 10.0.203.157'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.203.157'), ('Remove Op_Server0', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('DecoyApache User5', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyApache User5', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.120.0/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.120.10'), ('Sleep', 'ExploitRemoteService 10.0.120.10'), ('Analyse Op_Host1', 'PrivilegeEscalate User1'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.92.194'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.92.194'), ('Remove User2', 'ExploitRemoteService 10.0.120.10'), ('DecoyApache Enterprise2', 'PrivilegeEscalate User1'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.92.194'), ('Remove Defender', 'ExploitRemoteService 10.0.92.194'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise1'), ('Remove User3', 'DiscoverRemoteSystems 10.0.92.192/28'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.92.205'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.92.205'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.34.66'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.34.66'), ('DecoyApache Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0')], total reward: -171.79999999999995
actions: [('DecoyApache Enterprise2', 'DiscoverRemoteSystems 10.0.165.208/28'), ('Remove User2', 'DiscoverNetworkServices 10.0.165.216'), ('DecoyApache User5', 'ExploitRemoteService 10.0.165.216'), ('DecoyApache User3', 'ExploitRemoteService 10.0.165.216'), ('Remove User5', 'PrivilegeEscalate User3'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.158.177'), ('DecoyApache User2', 'ExploitRemoteService 10.0.158.177'), ('DecoyApache Enterprise1', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Host1', 'DiscoverRemoteSystems 10.0.158.176/28'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.158.181'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.158.181'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.119.98'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.119.98'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('DecoyApache User5', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0')], total reward: -210.69999999999993
