CybORG v2.1, Scenario2B, Commit Hash: 9421c8e985627810c5cac2abf0bcb62dfa6749fc
author: krystal, team: cset, technique: ppo2B
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -174.61299999999994, standard deviation 78.75111883765089
actions: [('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.225.64/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.225.71'), ('Remove User5', 'ExploitRemoteService 10.0.225.71'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User3'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.236.181'), ('Analyse User4', 'ExploitRemoteService 10.0.236.181'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'DiscoverRemoteSystems 10.0.236.176/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.236.180'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.236.180'), ('Remove User2', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.219.202'), ('Analyse User3', 'ExploitRemoteService 10.0.219.202'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Remove User5', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse User3', 'DiscoverRemoteSystems 10.0.9.128/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.9.135'), ('Analyse User4', 'ExploitRemoteService 10.0.9.135'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate User4'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.41.58'), ('DecoyApache User0', 'ExploitRemoteService 10.0.41.58'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Analyse User4', 'DiscoverRemoteSystems 10.0.41.48/28'), ('Analyse User3', 'DiscoverNetworkServices 10.0.41.55'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.41.55'), ('Remove Op_Host0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.179.93'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.179.93'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Remove User5', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.108.176/28'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.108.180'), ('Analyse Defender', 'ExploitRemoteService 10.0.108.180'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.108.180'), ('DecoyApache User2', 'PrivilegeEscalate User3'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.169.26'), ('Remove User1', 'ExploitRemoteService 10.0.169.26'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User4', 'DiscoverRemoteSystems 10.0.169.16/28'), ('DecoyApache User5', 'DiscoverNetworkServices 10.0.169.30'), ('Analyse User1', 'ExploitRemoteService 10.0.169.30'), ('DecoyApache Enterprise1', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.152.206'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.152.206'), ('Remove Enterprise2', 'PrivilegeEscalate Op_Server0'), ('Remove User5', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Remove User5', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse User5', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0')], total reward: -210.69999999999993
actions: [('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.112.176/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.112.184'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.112.184'), ('Analyse Op_Host1', 'PrivilegeEscalate User1'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.132.100'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.132.100'), ('DecoyApache Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User3', 'DiscoverRemoteSystems 10.0.132.96/28'), ('Remove Defender', 'DiscoverNetworkServices 10.0.132.97'), ('DecoyApache User3', 'ExploitRemoteService 10.0.132.97'), ('Remove User3', 'PrivilegeEscalate Enterprise2'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.210.219'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.210.219'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Analyse User5', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('DecoyApache User1', 'DiscoverRemoteSystems 10.0.10.96/28'), ('Remove User5', 'DiscoverNetworkServices 10.0.10.103'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.10.103'), ('Remove User0', 'PrivilegeEscalate User4'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.135.28'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.135.28'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.135.16/28'), ('Analyse User5', 'DiscoverNetworkServices 10.0.135.30'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.135.30'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.135.28'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.135.16/28'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.135.30'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.135.30'), ('DecoyApache User0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.240.129'), ('Analyse User2', 'ExploitRemoteService 10.0.240.129'), ('DecoyApache User2', 'PrivilegeEscalate Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0')], total reward: -163.79999999999995
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.75.176/28'), ('Analyse User4', 'DiscoverNetworkServices 10.0.75.188'), ('Remove User4', 'ExploitRemoteService 10.0.75.188'), ('Analyse User1', 'PrivilegeEscalate User4'), ('DecoyFemitter Op_Host1', 'DiscoverNetworkServices 10.0.195.100'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.195.100'), ('Analyse Op_Host2', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.195.96/28'), ('Analyse User1', 'DiscoverNetworkServices 10.0.195.97'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.195.97'), ('Analyse Enterprise2', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.33.235'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.33.235'), ('Analyse Enterprise2', 'PrivilegeEscalate Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('DecoyApache User5', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.55.16/28'), ('Remove User0', 'DiscoverNetworkServices 10.0.55.28'), ('Remove User2', 'ExploitRemoteService 10.0.55.28'), ('Remove Op_Host2', 'PrivilegeEscalate User5'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.194.166'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.194.166'), ('Remove Op_Host0', 'PrivilegeEscalate Enterprise0'), ('Remove User5', 'DiscoverRemoteSystems 10.0.194.160/28'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.194.170'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.194.170'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.194.166'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Analyse User3', 'DiscoverRemoteSystems 10.0.194.160/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.194.170'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.194.170'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.194.166'), ('Remove Op_Host0', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.194.160/28'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.194.170'), ('DecoyApache User2', 'ExploitRemoteService 10.0.194.170'), ('Remove User5', 'ExploitRemoteService 10.0.194.166'), ('Remove User5', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User0', 'DiscoverRemoteSystems 10.0.194.160/28'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.194.170'), ('DecoyApache User1', 'ExploitRemoteService 10.0.194.170'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.194.166'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Enterprise0', 'DiscoverRemoteSystems 10.0.194.160/28'), ('DecoyApache Enterprise2', 'DiscoverNetworkServices 10.0.194.170'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.194.170')], total reward: -26.70000000000001
actions: [('Remove Defender', 'DiscoverRemoteSystems 10.0.66.16/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.66.18'), ('Analyse User4', 'ExploitRemoteService 10.0.66.18'), ('DecoyApache User4', 'PrivilegeEscalate User5'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.61.86'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.61.86'), ('DecoyApache Defender', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.61.80/28'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.61.91'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.61.91'), ('Remove User4', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.87.1'), ('Remove User0', 'ExploitRemoteService 10.0.87.1'), ('DecoyApache Defender', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('DecoyApache User5', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Remove Enterprise1', 'DiscoverRemoteSystems 10.0.176.176/28'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.176.179'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.176.179'), ('Analyse User4', 'PrivilegeEscalate User5'), ('Monitor', 'DiscoverNetworkServices 10.0.251.6'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.251.6'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise0'), ('Analyse User1', 'DiscoverRemoteSystems 10.0.251.0/28'), ('Sleep', 'DiscoverNetworkServices 10.0.251.7'), ('Remove User1', 'ExploitRemoteService 10.0.251.7'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.251.6'), ('Remove User4', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User5', 'DiscoverRemoteSystems 10.0.251.0/28'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.251.7'), ('Analyse User2', 'ExploitRemoteService 10.0.251.7'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.215.75'), ('Monitor', 'ExploitRemoteService 10.0.215.75'), ('DecoyApache Enterprise0', 'PrivilegeEscalate Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('Remove User5', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0')], total reward: -163.79999999999995
actions: [('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.251.16/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.251.30'), ('Analyse User4', 'ExploitRemoteService 10.0.251.30'), ('DecoyApache Defender', 'PrivilegeEscalate User3'), ('Monitor', 'DiscoverNetworkServices 10.0.145.169'), ('Remove User2', 'ExploitRemoteService 10.0.145.169'), ('Remove Enterprise0', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter User1', 'DiscoverRemoteSystems 10.0.145.160/28'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.145.170'), ('Analyse User2', 'ExploitRemoteService 10.0.145.170'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.72.152'), ('DecoyApache User4', 'ExploitRemoteService 10.0.72.152'), ('Remove User0', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.250.192/28'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.250.199'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.250.199'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User5'), ('Analyse User0', 'DiscoverNetworkServices 10.0.116.108'), ('Monitor', 'ExploitRemoteService 10.0.116.108'), ('Remove Op_Server0', 'PrivilegeEscalate Enterprise0'), ('Analyse User4', 'DiscoverRemoteSystems 10.0.116.96/28'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.116.109'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.116.109'), ('Analyse User0', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.56.77'), ('Remove User0', 'ExploitRemoteService 10.0.56.77'), ('Analyse User0', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0')], total reward: -223.79999999999993
