CybORG v2.1, Scenario2A, Commit Hash: 7c31dcd8da21813d1423f65aa989a4f3f60aa327
author: Krystal, team: CSET, technique: Test evaluation
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: RedMeanderAgent, mean: -8.963999999999999, standard deviation 1.8858601981241045
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.243.208/28', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.243.222', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.243.210', 'Meander'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.243.219', 'Meander'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.243.212', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.243.215', 'Meander'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.243.219', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.243.215', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1', 'Meander'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.95.58', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.243.210', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4', 'Meander'), ('Restore User2', 'DiscoverNetworkServices 10.0.95.52', 'Meander'), ('Restore User4', 'ExploitRemoteService 10.0.95.58', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.243.222', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3', 'Meander'), ('Restore User1', 'ExploitRemoteService 10.0.95.58', 'Meander'), ('Restore User3', 'ExploitRemoteService 10.0.95.58', 'Meander'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.95.58', 'Meander'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.95.52', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.95.58', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.95.52', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.95.52', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.95.52', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.95.58', 'Meander')], total reward: -10.3
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.222.32/28', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.222.39', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.222.35', 'Meander'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.222.40', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.222.45', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.222.37', 'Meander'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.222.45', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1', 'Meander'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.222.116', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.222.116', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.222.40', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3', 'Meander'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.222.119', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.39', 'Meander'), ('Restore User2', 'PrivilegeEscalate User2', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.222.37', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.222.39', 'Meander'), ('Restore User2', 'PrivilegeEscalate User2', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.222.35', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.119', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.222.116', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.222.39', 'Meander'), ('Restore User2', 'PrivilegeEscalate User2', 'Meander'), ('Restore User1', 'ExploitRemoteService 10.0.222.119', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.116', 'Meander'), ('Restore User3', 'ExploitRemoteService 10.0.222.116', 'Meander'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.222.119', 'Meander')], total reward: -11.999999999999996
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.75.96/28', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.75.108', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.75.98', 'Meander'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.75.102', 'Meander'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.75.105', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.75.100', 'Meander'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.75.108', 'Meander'), ('Analyse Enterprise2', 'PrivilegeEscalate User3', 'Meander'), ('Restore User3', 'DiscoverNetworkServices 10.0.122.190', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.122.190', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.75.102', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.122.190', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.75.105', 'Meander'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User2', 'Meander'), ('Restore User2', 'DiscoverNetworkServices 10.0.122.184', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.122.190', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.122.184', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.75.98', 'Meander'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User4', 'Meander'), ('Restore User4', 'ExploitRemoteService 10.0.122.184', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.75.100', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.122.190', 'Meander'), ('Restore User1', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Restore Enterprise0', 'DiscoverRemoteSystems 10.0.122.176/28', 'Meander'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.122.181', 'Meander')], total reward: -9.899999999999999
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.128.144/28', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.128.156', 'Meander'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.128.155', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.128.151', 'Meander'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.128.153', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.128.148', 'Meander'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.128.151', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.128.155', 'Meander'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User2', 'Meander'), ('Restore User2', 'DiscoverNetworkServices 10.0.158.7', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.128.153', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.158.7', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.128.156', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4', 'Meander'), ('Restore User2', 'DiscoverNetworkServices 10.0.158.3', 'Meander'), ('Restore User4', 'ExploitRemoteService 10.0.158.7', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.128.148', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3', 'Meander'), ('Restore User1', 'ExploitRemoteService 10.0.158.3', 'Meander'), ('Restore User3', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Restore Enterprise0', 'DiscoverRemoteSystems 10.0.158.0/28', 'Meander'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.158.14', 'Meander'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.158.12', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.158.7', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.158.3', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.158.3', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.158.7', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.158.7', 'Meander')], total reward: -9.5
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.33.144/28', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.33.154', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.33.152', 'Meander'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.33.156', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.33.146', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.33.148', 'Meander'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.33.152', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.33.156', 'Meander'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User2', 'Meander'), ('Restore User2', 'DiscoverNetworkServices 10.0.25.130', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.25.130', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.33.146', 'Meander'), ('Analyse Enterprise1', 'PrivilegeEscalate User3', 'Meander'), ('Restore User3', 'DiscoverNetworkServices 10.0.25.132', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.33.154', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.25.132', 'Meander'), ('Restore User1', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Restore Enterprise0', 'DiscoverRemoteSystems 10.0.25.128/28', 'Meander'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.25.136', 'Meander'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.25.131', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.25.130', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.25.131', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.25.130', 'Meander'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1', 'Meander'), ('DecoyApache User1', 'ExploitRemoteService 10.0.25.131', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.25.130', 'Meander'), ('DecoyApache User1', 'ExploitRemoteService 10.0.25.131', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.25.136', 'Meander')], total reward: -6.5
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.138.144/28', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.138.147', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.138.153', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.138.148', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.138.158', 'Meander'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.138.155', 'Meander'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.138.158', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.138.155', 'Meander'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User4', 'Meander'), ('Restore User4', 'DiscoverNetworkServices 10.0.131.155', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.131.155', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.131.155', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.138.148', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.131.155', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.138.153', 'Meander'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User2', 'Meander'), ('Restore User2', 'DiscoverNetworkServices 10.0.131.152', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.131.155', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.131.155', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.138.148', 'Meander'), ('Analyse Enterprise1', 'PrivilegeEscalate User3', 'Meander'), ('Restore User3', 'ExploitRemoteService 10.0.138.147', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.131.155', 'Meander')], total reward: -8.899999999999999
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.75.176/28', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.75.187', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.75.177', 'Meander'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.75.188', 'Meander'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.75.189', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.75.185', 'Meander'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.75.185', 'Meander'), ('Analyse Enterprise2', 'PrivilegeEscalate User3', 'Meander'), ('Restore User3', 'DiscoverNetworkServices 10.0.42.61', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.75.189', 'Meander'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User2', 'Meander'), ('Restore User2', 'DiscoverNetworkServices 10.0.42.56', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.42.56', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.75.188', 'Meander'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User4', 'Meander'), ('Restore User4', 'ExploitRemoteService 10.0.75.177', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.42.56', 'Meander'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.75.187', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.42.61', 'Meander'), ('Restore User1', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Restore Enterprise0', 'DiscoverRemoteSystems 10.0.42.48/28', 'Meander'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.42.58', 'Meander'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.42.49', 'Meander'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.42.49', 'Meander'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.42.58', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.42.61', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander')], total reward: -8.899999999999999
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.247.128/28', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.247.129', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.247.133', 'Meander'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.247.134', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.247.140', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.247.130', 'Meander'), ('Analyse Enterprise2', 'PrivilegeEscalate User0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.247.140', 'Meander'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User2', 'Meander'), ('Restore User2', 'DiscoverNetworkServices 10.0.18.39', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.247.134', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.18.39', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.247.133', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4', 'Meander'), ('Restore User1', 'DiscoverNetworkServices 10.0.18.37', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.18.37', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Restore User4', 'ExploitRemoteService 10.0.247.129', 'Meander'), ('Analyse Enterprise2', 'PrivilegeEscalate User3', 'Meander'), ('Restore User3', 'ExploitRemoteService 10.0.18.39', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.18.39', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.18.37', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.18.39', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.247.130', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.18.37', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.18.37', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.18.37', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.18.39', 'Meander'), ('Analyse Enterprise2', 'PrivilegeEscalate Enterprise1', 'Meander')], total reward: -7.4
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.244.80/28', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.244.83', 'Meander'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.244.82', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.244.94', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.244.86', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.244.91', 'Meander'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.244.82', 'Meander'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User2', 'Meander'), ('Restore User2', 'DiscoverNetworkServices 10.0.4.222', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.244.86', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.244.91', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4', 'Meander'), ('Restore User1', 'DiscoverNetworkServices 10.0.4.210', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.4.210', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.4.222', 'Meander'), ('Restore User4', 'ExploitRemoteService 10.0.4.222', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.244.94', 'Meander'), ('Analyse Enterprise2', 'PrivilegeEscalate User3', 'Meander'), ('Restore User3', 'ExploitRemoteService 10.0.4.210', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.4.210', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.4.222', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.4.210', 'Meander'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.4.222', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.244.83', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.4.210', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.4.222', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.4.222', 'Meander')], total reward: -6.3
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.164.112/28', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.164.114', 'Meander'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.164.117', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.164.126', 'Meander'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.164.122', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.164.116', 'Meander'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.164.114', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.164.122', 'Meander'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User2', 'Meander'), ('Restore User2', 'DiscoverNetworkServices 10.0.131.227', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.164.126', 'Meander'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User4', 'Meander'), ('Restore User4', 'DiscoverNetworkServices 10.0.131.228', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.164.116', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.131.228', 'Meander'), ('Restore User1', 'PrivilegeEscalate Enterprise0', 'Meander'), ('Restore Enterprise0', 'DiscoverRemoteSystems 10.0.131.224/28', 'Meander'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.131.226', 'Meander'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.131.235', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.131.226', 'Meander'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.131.235', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.131.227', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.131.227', 'Meander'), ('DecoyApache User1', 'ExploitRemoteService 10.0.131.227', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.131.226', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.131.226', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.131.226', 'Meander'), ('Restore Enterprise2', 'PrivilegeEscalate Enterprise2', 'Meander')], total reward: -6.6
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.13.144/28', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.13.152', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.13.145', 'Meander'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.13.156', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.13.155', 'Meander'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.13.154', 'Meander'), ('Analyse Enterprise2', 'PrivilegeEscalate User0', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.13.156', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1', 'Meander'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.164.237', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.164.237', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.164.237', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.13.154', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.164.237', 'Meander'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1', 'Meander'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.13.145', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4', 'Meander'), ('Restore User2', 'DiscoverNetworkServices 10.0.164.225', 'Meander'), ('Restore User4', 'ExploitRemoteService 10.0.13.152', 'Meander'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3', 'Meander'), ('Restore User1', 'ExploitRemoteService 10.0.13.155', 'Meander'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User2', 'Meander'), ('Restore User2', 'ExploitRemoteService 10.0.164.237', 'Meander'), ('Restore User3', 'ExploitRemoteService 10.0.164.237', 'Meander'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.164.225', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.164.225', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.164.225', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.164.237', 'Meander'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.164.225', 'Meander'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.164.225', 'Meander')], total reward: -8.3
